Дата,Карьеры,Юридическое лицо,Наименование материала,Контакт,Цена,Ед.изм.,Насыпная плотность,Модуль крупности,Коэфициент фильтрации,Фракция,Марка прочности,Коэфициент морозостойкости,Геолокация,Транспорт,График
24.01.2025,Пушкарка,,ЩПС С5,89651206590,р.920,тн,1.55,,,20-40,,,"54.383773, 38.275669",Тонары + Одиночки,24 х7
24.01.2025,Маломахово (Совьяки),"ООО ""Карьер Инвест""",Песок мытый,89100943715,"р.640,00",тн,"1,55","2,7",3.9,-,-,-,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
24.01.2025,Маломахово (Совьяки),"ООО ""Карьер Инвест""",ЩПС С5,89100943715,"р.1 300,00",тн,"1,65",,,-,-,-,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
24.01.2025,Восточные берники ,,ЩПС С4,,"р.750,00",тн,1.55,,,,,,"54.283148, 37.254636",тонары + Одиночки,24х7
24.01.2025,Восточные берники ,,ЩПС С5,,"р.750,00",тн,1.55,,,,,,"54.283148, 37.254636",тонары + Одиночки,24х7
24.01.2025,Исма ,,ЩПС С4,89672477981,"р.2 500,00",м3,1.6,,,,,,"55.934737, 37.741770",тонары + Одиночки,
24.01.2025,Исма ,,ЩПС С5,89672477981,"р.2 500,00",м3,1.6,,,,,,"55.934737, 37.741770",тонары + Одиночки,
24.01.2025,Брыково горы ,,Гравийный щебень,,"р.1 350,00",тн,1.4,,,3/10,,,"56.433068, 38.458153",,
17.04.2025,Мирный,,Песок мытый,89057793009,"р.850,00",м3,1.55,2-2.2,,более 5,,,"54.889174, 37.440394",Тонары + Одиночки,24х7
05.03.2025,Коллонтай ,,щебень известняковый ,89651206590,"р.1 050,00",тн,,,,5-20,,,"55.048621, 36.532093",Тонары + Одиночки,24х7
