дата,от куда,,вид транспорта,,погрузка,выгрузка,,расстояние,время на рейс под нагрузкой,кол-во рейсов факт,вес,ед измерения,кол-во рейсов расчетный,расход топлива на 100км,цена за литр,затраты на топливо,зп водителя на км,затраты на зп,затраты на зп день,норма прибыли,"други затраты на смену (платон, гаи, платная трасса)",тариф руб/куб(тн)*км расчет,тариф руб/куб(тн) расчет,проверка,тариф руб/куб(тн)*км факт,тариф руб/куб(тн) факт,прибыль факт,стоимость материала закуп,наценка,цена материала продажа,стоимость материала,стоимость машины с материалом расчет,стоимость машины с материалом факт,тариф с материалом расчет,тариф с материалом факт,доовор,фидель,наем,кп,кп,прибыль наем,,,,,,,,,,,,,,,,,,,,,,,
,Ветчинские Болота,Коломна,одиночки,,,,08-20,150,,2,42,тн,2,55,60,9900,25,3750,7500,30000,2800,"4,8","715,4761905",30000,"4,8",720,30380,"180,6451613",0,"180,6","7587,1","37637,1","37827,1","896,1","900,6451613",,,,900,,,,,,,,,,,,,,,,,,,,,,,,,
,Зубцовский ГОК,Коломна,Шаланды?,Сухой в бэгах,,,08-0,150,,2,42,тн,2,55,60,9900,25,3750,7500,30000,2800,"4,8","715,4761905",30000,"4,8",720,30380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Коломна,Брянск,тонары,жесть,,,Универсалсервис,480,,1,10,тн,"0,625",35,60,20160,19,9120,9120,30000,3880,"13,2",6316,30000,"13,33333333",6400,30840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ПГК Хорошего,Нажицы,тонары,щебень,,,Византия,116,,2,32,тн,"2,586206897",45,60,6264,27,3132,6264,30000,2392,"6,9","799,75",30000,"5,862068966",680,22336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Магистральный,Раменское Удельная,одиночки,ЩПС,,,,140,,2,28,тн,"2,142857143",55,60,9240,26,3640,7280,30000,2680,"7,5","1043,571429",30000,"6,785714286",950,24760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Клинцы,Дзержинский,тонары,стружка,,,Вторэлемент,570,,1,"23,6",тн,"0,5263157895",35,60,23940,14,7980,7980,30000,4420,"4,9","2811,016949",30000,"3,333333333",1900,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Магистральный,Сергиев Посад,одиночки,песок,,,КСМК,18,,6,42,тн,"16,66666667",55,60,1188,61,1098,6588,30000,1648,"10,0","180,015873",30000,10,180,29996,210,0,"210,0","8820,0","16380,7","16380,0","390,0",390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.10,МВК,Лихачевский пер,тонары,5/20 грав,5000,,,120,,2,45,тн,"2,5",45,60,6480,27,3240,6480,30000,2440,"4,8","576,4444444",30000,"3,833333333",460,19520,1600,0,"1600,0","72000,0","97940,0","92700,0","2176,4",2060,,,,2100,,,,,,,,,,,,,,,,,,,,,,,,,
09.10,Агат,Лихачевский пер,тонары,"Песок мытый 2,2",4000,,,131,,2,45,тн,"2,290076336",45,60,7074,26,3406,6812,30000,2572,"4,5","594,8",30000,"3,664122137",480,19668,180,0,"180,0","8100,0","34866,0","29700,0","774,8",660,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,,10,40,тн,50,55,60,396,125,750,7500,20000,1360,"13,7","82,05",20000,"17,83333333",107,29980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10,Кубинка,Малые Вяземы,тонары,ЩПС С5 М800,20000м3,,,27,,5,45,тн,"11,11111111",45,60,1458,63,1701,8505,30000,5510,"8,4","228,0222222",30000,"8,518518519",230,30445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Воейково,Малые Вяземы,тонары,ЩПС С5 М800,20000м3,,,254,,"1,5",28,м3,"1,181102362",45,60,13716,"23,5",5969,"8953,5",30000,4396,"6,0","1521,988095",30000,"5,905511811",1500,"29076,5",1100,0,"1100,0","30800,0","73415,7","72800,0","2622,0",2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.10,Старая Купавна 1,Быковское шоссе,одиночки,Песок,,,ГК Альянс,42,,4,30,тн,"7,142857143",55,60,2772,40,1680,6720,30000,4008,"10,3","431,8",30000,"8,333333333",350,20184,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Богаево,Малые Вяземы,тонары,"Песок МК2,5",,,Миск,79,,4,30,тн,"3,797468354",45,60,4266,29,2291,9164,25000,5856,"6,0","475,7",25000,"5,569620253",440,20716,360,0,"561,6","16848,0","31119,0","30048,0","1037,3","1001,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Орешки,Малые Вяземы,тонары,"Песок МК2,6",,,Миск,52,,4,30,м3,"5,769230769",45,60,2808,32,1664,6656,30000,5208,"8,5","442,4666667",30000,"8,269230769",430,28504,540,0,"540,0","16200,0","29474,0","29100,0","982,5",970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Богаево,Малые Вяземы,тонары,"Песок МК2,5",,,Миск,52,,4,30,тн,"5,769230769",45,60,2808,45,2340,9360,25000,2248,"7,7","398,6666667",25000,"8,461538462",440,29960,360,0,"561,6","16848,0","28808,0","30048,0","960,3","1001,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Русеан Еганово,Коломна,тонары,Песок,,,Лаб Индастриз,92,,3,43,тн,"3,260869565",45,60,4968,28,2576,7728,40000,2656,"5,5","506,1085271",40000,"5,434782609",500,39212,360,0,"370,0","15910,0","37672,7","37410,0","876,1",870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Дюкинский,Боровково,тонары,щебень,,,,208,,2,44,тн,"1,442307692",45,60,11232,"24,5",5096,10192,30000,3496,"3,6","751,7272727",30000,"3,605769231",750,29848,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Дюкинский,Черноголвка,тонары,щебень,,,,227,,2,44,тн,"1,321585903",45,60,12258,24,5448,10896,30000,3724,"3,5","785,6363636",30000,"3,303964758",750,26864,,,,,,,,,,,,790,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Рудинка,Тула,тонары,Рожь,,,Синергия,145,,2,30,тн,"2,068965517",40,60,6960,24,3480,6960,30000,2740,"6,2","893,6666667",30000,"6,172413793",895,30080,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,,,тонары,,,,КонтрСтрой,260,,1,32,тн,"1,153846154",45,60,14040,23,5980,5980,30000,2560,"6,3","1643,125",30000,"6,5",1690,31500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,,,одиночки,,,,КонтрСтрой,46,,4,28,тн,"6,52173913",55,60,3036,35,1610,6440,30000,2104,"9,8","452,5714286",30000,"9,347826087",430,27472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,,,тонары,,,,КонтрСтрой,46,,4,32,тн,"6,52173913",45,60,2484,39,1794,7176,30000,2104,"8,4","384,5",30000,"8,260869565",380,29424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,,,одиночки,,,,КонтрСтрой,64,,4,28,тн,"4,6875",55,60,4224,28,1792,7168,30000,2536,"7,9","505,3571429",30000,"9,375",600,40600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.10,Домодедово,Дубна,тонары,,,,КонтрСтрой,187,,2,32,тн,"1,604278075",45,60,10098,26,4862,9724,30000,3244,"5,3","986,9375",30000,"4,812834225",900,24436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Лычево,Сергиев Посад,тонары,песок,,,КСМК,31,,5,45,тн,"9,677419355",45,60,1674,50,1550,7750,30000,1930,"6,9","213,5555556",30000,"5,806451613",180,22450,"173,3333333",0,"173,3","7800,0","17410,0","15900,0","386,9","353,3333333",380,,,400,380,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Лычево,Сергиев Посад,тонары,песок,,,КСМК,31,,5,30,м3,"9,677419355",45,60,1674,50,1550,7750,30000,1930,"10,3","320,3333333",30000,"10,32258065",320,29950,260,0,"260,0","7800,0","17410,0","17400,0","580,3",580,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Лоза,Сергиев Посад,тонары,песок,,,КСМК,21,,6,45,тн,"14,28571429",45,60,1134,64,1344,8064,30000,1756,"8,2","172,6814815",30000,"8,571428571",180,31976,,,,,,,,,,,,180,170,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Лоза,Сергиев Посад,тонары,песок,,,КСМК,21,,6,30,м3,"14,28571429",45,60,1134,64,1344,8064,30000,1756,"12,3","259,0222222",30000,"12,38095238",260,30176,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Магистральный,Сергиев Посад,одиночки,песок,,,КСМК,25,,6,42,тн,12,50,50,1250,56,1400,8400,30000,1900,"7,6","189,6825397",30000,"9,32",233,40916,"166,6666667",0,"166,7","7000,0","14966,7","16786,0","356,3","399,6666667",400,,,410,400,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Магистральный,Сергиев Посад,одиночки,песок,,,КСМК,25,,6,28,м3,12,50,60,1500,65,1625,9750,30000,1900,"12,1","301,4880952",30000,"10,8",270,24710,360,0,"360,0","10080,0","18521,7","17640,0","661,5",630,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Хотьково,Сергиев Посад,тонары,песок,,,КСМК,26,,4,45,тн,"11,53846154",45,60,1404,60,1560,6240,30000,1624,"9,3","241,5555556",30000,"9,423076923",245,30620,"322,5806452",0,"322,6","14516,1","25386,1","25541,1","564,1","567,5806452",,,,570,560,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Хотьково,Сергиев Посад,тонары,песок,,,КСМК,26,,4,30,м3,"11,53846154",45,60,1404,60,1560,6240,30000,1624,"13,9","362,3333333",30000,"13,84615385",360,29720,500,0,"500,0","15000,0","25870,0","25800,0","862,3",860,,,,,860,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Крутец,Сергиев Посад,тонары,песок,,,КСМК,36,,5,45,тн,"8,333333333",45,60,1944,"44,5",1600,8000,30000,2080,"6,1","221,3333333",30000,"5,37037037","193,3333333",23700,200,0,"200,0","9000,0","18960,0","17700,0","421,3","393,3333333",,,180,480,470,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Крутец,Сергиев Посад,тонары,песок,,,КСМК,36,,5,45,тн,"8,333333333",45,60,1944,55,1600,8000,30000,2080,"6,1","221,3333333",30000,"5,388888889",194,23850,200,0,"200,0","9000,0","18960,0","17730,0","421,3",394,394,,,,690,,,,,,,,,,,,,,,,,,,,,,,,
13.10,Муханово,Сергиев Посад,тонары,песок,,,КСМК,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.10,"Балашиха, Звездная 11",Нажицы,одиночки,вторичка,,,Византия,70,,3,35,тн,"4,285714286",55,60,4620,30,2100,6300,30000,2260,"7,1","499,2380952",30000,"7,142857143",500,30080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.10,Богаевский,Архангельское,тонары,песок,,,Империя Холдинг,85,,3,45,тн,"3,529411765",45,60,4590,30,2550,7650,30000,2530,"4,7","399,6296296",30000,"4,117647059",350,23300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.10,Барсуки,Озеры,тонары,щебень,,,Империя Холдинг,145,,2,45,тн,"2,068965517",45,60,7830,28,4060,8120,30000,2740,"4,3",628,30000,"3,724137931",540,22080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Пятовский,Коледино,тонары,щебень,,,,160,,"2,5",45,тн,"1,875",45,60,8640,28,4480,11200,30000,3400,"3,7","588,4444444",30000,"3,75",600,31300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Воскресенск,Старя Купавна,тонары,плиты ТУ,,,Партнер,85,,2,32,тн,"3,529411765",40,60,4080,30,2550,5100,30000,2020,"8,3","707,5",30000,"6,470588235",550,19920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Полотняный,Серпухов,тонары,щебень,,,Империя Холдинг,150,,2,47,тн,2,45,60,8100,"23,5",3525,7050,30000,2800,"4,0","596,2765957",30000,"3,333333333",500,20950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.10,Кириллово,Дорохово,тонары,песок,,,,60,,4,30,м3,5,45,60,3240,34,2040,8160,30000,2440,"7,4","446,3333333",30000,"6,666666667",400,24440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.10,Искра,Поморская,тонары,песок,,,Мианстрой,106,,2,32,м3,"2,830188679",45,60,5724,"29,5",3127,6254,30000,2272,"7,4","780,84375",30000,"6,41509434",680,23546,120,0,"120,0","3840,0","28827,0","25600,0","900,8",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.10,Аксиньино,Поморская,тонары,песок,,,Мианстрой,60,,3,32,м3,5,45,60,3240,50,3000,9000,30000,2080,"8,8","529,1666667",30000,"8,333333333",500,27200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.10,Искра,Карамышевская,тонары,песок,,,Мианстрой,115,,2,32,м3,"2,608695652",45,60,6210,"28,5","3277,5",6555,30000,2380,"7,0","802,421875",30000,"5,913043478",680,22165,120,0,"120,0","3840,0","29517,5","25600,0","922,4",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.10,Аксиньино,Карамышевская,тонары,песок,,,Мианстрой,74,,3,32,м3,"4,054054054",45,60,3996,40,2960,8880,30000,2332,"7,5","554,1666667",30000,"6,756756757",500,24800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/10,Карьер ?,2 Пугачевская,тонары,ПГС,,,Византия,115,,3,28,м3,"2,608695652",45,60,6210,28,3220,9660,30000,3070,"6,4","730,4761905",30000,"6,260869565",720,29120,2200,0,"2200,0","61600,0","82053,3","81760,0","2930,5",2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.10,Дюкинский,Ермолино,тонары,щебень,,,,286,,1,45,м3,"1,048951049",45,60,15444,"24,5",7007,7007,25000,2716,"3,9","1114,822222",25000,"3,846153846",1100,24333,650,0,"650,0","29250,0","79417,0","78750,0","1764,8",1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.10,Кучино,Вельяминово,тонары,бой кирпича,,,Византия,80,,3,34,м3,"3,75",45,60,4320,32,2560,7680,30000,2440,"6,5","520,3921569",30000,"6,375",510,28940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.10,Кучино,Буньково,одиночки,вторичка,,,Византия,52,,4,35,м3,"5,769230769",55,60,3432,34,1768,7072,30000,2248,"7,3","378,9142857",30000,"7,692307692",400,32952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.10,Кучино,Ногинск,одиночки,вторичка,,,Византия,58,,4,35,м3,"5,172413793",55,60,3828,34,1972,7888,30000,2392,"6,8","397,0857143",30000,"6,896551724",400,30408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.10,Анненковский карьер,Воскресенск,тонары,гипс,,,Волма,520,,"0,75",47,тн,"0,5769230769",45,60,28080,24,12480,9360,30000,3340,"3,5","1808,794326",30000,"3,461538462",1800,29690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.10,Аксиньино,Сетунь,одиночки,пескогрунт,,,,88,,3,28,тн,"3,409090909",55,60,5808,35,3080,9240,30000,2584,"8,0","705,3333333",30000,"7,954545455",700,29552,2200,0,"2200,0","61600,0","81349,3","81200,0","2905,3",2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,Кучино,Вторая Алексеевка,одиночки,вторичка,,,Византия,68,,3,35,м3,"4,411764706",55,60,4488,35,2380,7140,30000,2224,"7,4","503,1238095",30000,"7,352941176",500,29672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,Есино,п.и. Тельмана,тонары,песок,,,ТСМ,71,,3,48,тн,"4,225352113",45,60,3834,34,2414,7242,30000,2278,"5,0","354,3194444",30000,"4,929577465",350,29378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,Есино,п.и. Тельмана,тонары,песок,,,ТСМ,71,,3,31,м3,"4,225352113",45,60,3834,34,2414,7242,30000,2278,"7,7","548,6236559",30000,"7,605633803",540,29198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,,Коломна,одиночки,гранит 5/10,700м3 08-18,,ДиМ,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,,Коломна,одиночки,гранит 5/20,1150м3 08-18,,ДиМ,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,Подгоренки,"Раменское, Заозерье",тонары,гравий 20/40,180м3 08-18,,ДиМ,98,,3,45,тн,"3,06122449",45,60,5292,33,3234,9702,30000,2764,"4,4","432,162963",30000,"4,336734694",425,29033,1900,0,"1900,0","85500,0","104947,3","104625,0","2332,2",2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,,"Раменское, Заозерье",тонары,гранит 40/80,100м3 08-19,,ДиМ,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,,Подольских Курсантов,тонары,гранит 5/20,5500м3 24,,ДиМ,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.10,Долгопрудный,Химки,тонары,вторичка 20/40,300м3 08-18,,ДиМ,28,,3,35,м3,"10,71428571",45,60,1512,34,952,2856,30000,1504,"13,2","370,4380952",30000,"12,85714286",360,28904,1300,0,"1300,0","45500,0","58465,3","58100,0","1670,4",1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,Терекс (Дубна),Нагорный пр-д,тонары,щебень,,,,212,,2,45,тн,"1,41509434",45,60,11448,"24,5",5194,10388,30000,3544,"3,5","742,5333333",30000,"3,396226415",720,27972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,ПГК Хорошего,Нагорный пр-д,тонары,щебень,,,,132,,3,45,тн,"2,272727273",45,60,7128,26,3432,10296,30000,3376,"3,7","481,8962963",30000,"3,03030303",400,18944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,Искра,Нагорный пр-д,тонары,щебень,,,,125,,3,45,тн,"2,4",45,60,6750,26,3250,9750,30000,3250,"3,7","468,5185185",30000,"3,44",430,24800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,Искра,Булатниковская,тонары,щебень,,,,138,,3,45,тн,"2,173913043",45,60,7452,25,3450,10350,30000,3484,"3,6","490,2962963",30000,"3,260869565",450,24560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,ПГК Хорошего,Булатниковская,тонары,щебень,,,,145,,3,45,тн,"2,068965517",45,60,7830,25,3625,10875,30000,3610,"3,5","503,5185185",30000,"2,896551724",420,18725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.10,Дюкинский ,Дзержинский,тонары,щебень,,,,255,,"1,5",45,тн,"1,176470588",45,60,13770,25,6375,"9562,5",30000,3295,"3,7","940,9259259",30000,"3,725490196",950,"30612,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.10,Товарково,Кашира,тонары,,,,,255,,"1,5",45,тн,"1,176470588",45,60,13770,25,6375,"9562,5",30000,3295,"3,7","940,9259259",30000,"3,725490196",950,"30612,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.10,Урусово,Ожерелье,тонары,пшеница,,,,90,,2,30,тн,"3,333333333",35,60,3780,35,3150,6300,30000,2080,"8,5","765,6666667",30000,8,720,27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.10,Урусово,Росва,тонары,пшеница,,,,234,,"1,5",30,тн,"1,282051282",35,60,9828,25,5850,8775,30000,3106,"5,4","1258,288889",30000,"3,846153846",900,13877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.10,Дюкинский ,Пуршево,тонары,Щебень,,,,238,,1,45,тн,"1,260504202",45,60,12852,23,5474,5474,30000,2428,"4,7","1127,866667",30000,"3,445378151",820,16146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.10,Дюкинский ,Кузнецы,тонары,Щебень,,,,180,,2,45,тн,"1,666666667",45,60,9720,24,4320,8640,30000,3160,"3,8","680,4444444",30000,"3,611111111",650,27260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.10,Кучино,Люберцы,одиночки,вторичка,,,,32,,4,35,м3,"9,375",45,60,1728,45,1440,5760,30000,1768,"9,9","317,4285714",30000,"9,375",300,27560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Дюкинский ,Бутово,тонары,щебень 20/40,,,,269,,1,45,тн,"1,115241636",45,60,14526,24,6456,6456,25000,2614,"4,0","1079,911111",25000,"3,940520446",1060,24104,750,0,"750,0","33750,0","82346,0","81450,0","1829,9",1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Терекс (Дубна),Бутово,тонары,щебень 20/40,,,,195,,"1,5",45,тн,"1,538461538",45,60,10530,26,5070,7605,30000,2755,"4,3","831,9259259",30000,"4,205128205",820,29195,890,0,"890,0","40050,0","77486,7","76950,0","1721,9",1710,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Муковнино Сказка,Бутово,тонары,Песок сух,,,,76,,"2,5",45,тн,"3,947368421",45,60,4104,30,2280,5700,30000,2140,"5,6","427,5555556",30000,"5,5",418,28925,"266,6666667",0,"266,7","12000,0","31240,0","30810,0","694,2","684,6666667",,,,650,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Балащиха,Бутово,,,,,,45,,3,45,тн,"6,666666667",55,60,2970,60,2700,8100,30000,1810,"8,0","361,6296296",30000,"7,888888889",355,29105,1180,0,"1180,0","53100,0","69373,3","69075,0","1541,6",1535,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,,Бутово,тонары,ОПГС,,,,130,,"1,5",45,тн,"2,307692308",45,60,7020,30,3900,5850,30000,2170,"5,5","719,2592593",30000,"4,615384615",600,21950,700,0,"700,0","31500,0","63866,7","58500,0","1419,3",1300,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,ПГК Хорошего,Домодедово,тонары,щебень,,,,156,,"2,5",45,тн,"1,923076923",45,60,8424,24,3744,9360,30000,3340,"3,6","566,7555556",30000,"3,653846154",570,30365,,,,,,,,,,,,860,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Мирный,Серпухов,тонары,песок,,,,28,,5,45,тн,"10,71428571",45,60,1512,55,1540,7700,30000,1840,"7,5","209,3333333",30000,"7,5",210,30150,"466,6666667",0,"466,7","21000,0","30420,0","30450,0","676,0","676,6666667",,,,680,,,,,,,,,,,,,,,,,,,,,,,,,
31.10,Озеры,Воскресенск,тонары,песок,,,,61,,4,33,м3,"4,918032787",45,60,3294,36,2196,8784,30000,2464,"6,8","412,3030303",30000,"5,901639344",360,23096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.11,Озеры,Коломна Цементиников,тонары,песок,,,,65,,3,32,м3,"4,615384615",45,60,3510,34,2210,6630,30000,2170,"7,9","513,8541667",30000,"7,692307692",500,28670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.11,ПГК Хорошего,Фрязино,тонары,щебень 20/40,,,,105,,3,32,м3,"2,857142857",45,60,5670,26,2730,8190,30000,2890,"5,8","605,1041667",30000,"6,19047619",650,34310,2100,50,"2150,0","68800,0","88163,3","89600,0","2755,1",2800,,,600,2800,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,50,,4,26,м3,6,55,60,3300,36,1800,7200,25000,2200,"9,2","457,6923077",25000,12,600,39800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.11,Озеры,Сенцово,тонары,песок,,,,17,,6,30,м3,"17,64705882",45,60,918,70,1190,7140,30000,1612,"14,5","245,8888889",30000,"14,11764706",240,28940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.11,Домодедово,Серпухов,тонары,щебень 5/10,,,,100,,3,45,тн,3,45,60,5400,26,2600,7800,30000,2800,"4,2","420,7407407",30000,"4,2",420,29900,3650,0,"3650,0","164250,0","183183,3","183150,0","4070,7",4070,,,,4150,,,,,,,,,,,,,,,,,,,,,,,,,
01.11,Искра,Фрязино,тонары,щебень 40/70,,,,95,,3,32,м3,"3,157894737",45,60,5130,27,2565,7695,30000,2710,"6,1","581,1979167",30000,"6,526315789",620,33725,2300,50,"2350,0","75200,0","93798,3","95040,0","2931,2",2970,,,580,3000,,,,,,,,,,,,,,,,,,,,,,,,,
03.11,Молжаниново,Литвиново,одиночки,грунт,,,,40,,4,28,м3,"7,5",55,60,2640,45,1800,7200,30000,1960,"11,1","443,9285714",30000,10,400,25080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.11,Северный речной порт,Серпухов,тонары,Щебень,,,,135,,2,45,тн,"2,222222222",45,60,7290,"27,5","3712,5",7425,30000,2620,"4,5","606,9444444",30000,"4,444444444",600,29375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.11,МПК Север,Поморская,тонары,щебень,,,,109,,3,30,м3,"2,752293578",45,60,5886,"28,5","3106,5","9319,5",30000,2962,"6,1","665,9944444",30000,"6,19266055",675,"30810,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.11,Аксиньино,Красногорск,тонары,песок,,,,65,,3,32,м3,"4,615384615",45,60,3510,34,2210,6630,30000,2170,"7,9","513,8541667",30000,"6,923076923",450,23870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.11,Карачуново,Кашино,тонары,песок,25000м3,,Эко Грунт,127,,3,32,м3,"2,362204724",45,60,6858,25,3175,9525,30000,3286,"5,2","660,2604167",30000,"5,118110236",650,29015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.11,Заболотье,Рязановское Москва,тонары,песок,,,Мианстрой,20,,5,45,тн,15,45,60,1080,60,1200,6000,30000,1600,"9,6","191,1111111",30000,"9,5",190,29750,450,0,"450,0","20250,0","28850,0","28800,0","641,1",640,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,
08.11,Есино,Рязановское Москва,тонары,песок,,,Мианстрой,82,,3,32,м3,"3,658536585",45,60,4428,34,2788,8364,30000,2476,"6,9","563,7916667",30000,"4,634146341",380,12356,323,0,"323,0","10336,0","28377,3","22496,0","886,8",703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.11,Болотское,Рязановское Москва,тонары,песок,,,Мианстрой,105,,3,32,м3,"2,857142857",45,60,5670,26,2730,8190,30000,2890,"5,8","605,1041667",30000,"5,761904762",605,29990,310,35,"345,0","11040,0","30403,3","30400,0","950,1",950,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,
