дата,от куда,,вид транспорта,,погрузка,выгрузка,,расстояние,время на рейс под нагрузкой,кол-во рейсов факт,вес,ед измерения,кол-во рейсов расчетный,расход топлива на 100км,цена за литр,затраты на топливо,зп водителя на км,затраты на зп,затраты на зп день,норма прибыли,"други затраты на смену (платон, гаи, платная трасса)",тариф руб/куб(тн)*км расчет,тариф руб/куб(тн) расчет,проверка,тариф руб/куб(тн)*км факт,тариф руб/куб(тн) факт,прибыль факт,стоимость материала закуп,наценка,цена материала продажа,стоимость материала,стоимость машины с материалом расчет,стоимость машины с материалом факт,тариф с материалом расчет,тариф с материалом факт,доовор,фидель,наем,кп,кп,прибыль наем,,,,,,,,,,,,,,,,,,,,,,,
,Кнауф,Можайск,тонары,Гипсовый камень,,,Кселла Аэроблок,300,,1,50,тн,1,55,58,19140,23,6900,6900,25000,7400,"3,9","1168,8",25000,"3,833333333",1150,24060,894,,"894,0","44700,0","103140,0","102200,0","2062,8",2044,,,,2065,,,,,,,,,,,,,,,,,,,,,,,,,
,Голубинка,Товарково,тонары,Уголь,насып 1,,Калькон,1100,,1,34,тн,"0,2727272727",35,58,44660,20,22000,22000,50000,11500,"3,4","3769,411765",50000,"3,409090909",3750,49340,,,,,,,,,3750,,3550,,,6800,,,,,,,,,,,,,,,,,,,,,,,
,Голубинка,Товарково,тонары,Уголь,насып 1,,Калькон,1100,,1,26,тн,"0,2727272727",35,58,44660,20,22000,22000,50000,11500,"4,5","4929,230769",50000,4,4400,36240,,,,,,,,,4610,,4400,,,5460,,,,,,,,,,,,,,,,,,,,,,,
,Шахты,Товарково,тонары,Уголь,насып 1,,Калькон,980,,1,34,тн,"0,306122449",35,58,39788,23,22540,22540,50000,11500,"3,7",3642,50000,"3,744897959",3670,50952,,,,,,,,,4610,,4400,,,7140,,,,,,,,,,,,,,,,,,,,,,,
,Малая Дубна,"Коломна, Пирочинское шоссе 25",тонары,Песок,08-20 приемка,,Элгад,140,,3,45,тн,"2,142857143",45,58,7308,22,3080,9240,25000,1420,"3,0","426,5481481",25000,3,420,24116,220,,"220,0","9900,0","29094,7","28800,0","646,5",640,680,,420,700,,5400,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,"Коломна, Пирочинское шоссе 26",тонары,Песок,08-20 приемка,,Элгад,140,,3,45,тн,"2,142857143",45,58,7308,22,3080,9240,25000,1420,"3,0","426,5481481",25000,"3,035714286",425,24791,220,,"220,0","9900,0","29094,7","29025,0","646,5",645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ПГК Хорошего,Электроугли,тонары,Отсев,08-20 приемка,,Византия,140,,2,50,тн,"2,142857143",45,58,7308,22,3080,6160,25000,1840,"3,4","476,16",25000,"3,571428571",500,27384,0,,"0,0","0,0","23808,0","25000,0","476,2",500,500,,470,,,,,,,,,,,,,,,,,,,,,,,,,,
,Вагоноремонтная 10,Зеленоград,тонары,Щебень 5/20,24,,Большухин,38,,4,45,тн,"7,894736842",50,58,2204,46,1748,6992,30000,1228,"6,9","261,3111111",30000,"6,710526316",255,28864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Осеево,Южная Рокада,тонары,песок,08-20 приемка,,Мианстрой,65,,3,34,м3,"4,615384615",45,58,3393,39,2535,7605,30000,1390,"7,4","482,0980392",30000,"5,846153846",380,19586,,,,,,,,,,,380,,,-38760,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Вагоноремонтная 10,тонары,песок,24,,ТСК,65,,3,45,тн,"4,615384615",45,58,3393,30,1950,5850,30000,1390,"5,4","351,2518519",30000,4,260,17681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Руднево,тонары,песок карьерный,24,,Нерудцентр,67,,4,32,м3,"4,47761194",45,58,"3497,4",30,2010,8040,30000,1402,"6,2","417,434375",30000,"5,970149254",400,"27768,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Недра поиск Искра,Руднево,тонары,песок карьерный,24,,Нерудцентр,120,,3,32,м3,"2,5",45,58,6264,22,2640,7920,30000,1720,"5,1","608,6666667",30000,"4,583333333",550,24368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Вашутинское 22,тонары,песок карьерный,24,,Нерудцентр,72,,4,32,м3,"4,166666667",45,58,"3758,4",26,1872,7488,30000,1432,"5,9","421,5125",30000,"4,930555556",355,"21486,4",,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,
,Недра поиск Искра,Вашутинское 22,тонары,песок карьерный,24,,Нерудцентр,116,,3,34,м3,"2,586206897",45,58,"6055,2",22,2552,7656,30000,1696,"4,9","563,8980392",30000,"4,310344828",500,"23482,4",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Ленинградское 25км,тонары,песок карьерный,приемка с 08 до 19,,Нерудцентр,70,,3,32,м3,"4,285714286",45,58,3654,27,1890,5670,30000,1420,"7,2","500,5416667",30000,"5,357142857",375,17948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Недра поиск Искра,Ленинградское 25км,тонары,песок карьерный,приемка с 08 до 19,,Нерудцентр,120,,2,32,м3,"2,5",45,58,6264,23,2760,5520,30000,1720,"6,5","777,625",30000,"4,333333333",520,13512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Вита Дертники,Берязники,тонары,щебень гравийный,приемка с 09 до 17:45,,Нерудцентр,90,,2,32,м3,"3,333333333",45,58,4698,26,2340,4680,30000,1540,"7,9","712,75",30000,"5,555555556",500,16384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Фили,тонары,песок,,,Нерудцентр,70,,3,32,м3,"4,285714286",45,58,3654,27,1890,5670,30000,1420,"7,2","500,5416667",30000,"5,714285714",400,20348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Цемрос Воронеж,Цемрос Липецк,тонары,Клинкер,Погрузка с 08 до 20,,Цемрос,325,,1,43,тн,"0,9230769231",40,58,15080,22,7150,7150,30000,7430,"4,3","1387,44186",30000,"4,307692308",1400,30540,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,
,Комягино,Зубцовский,тонары,песок,24,,ТСК,130,,3,32,тн,"2,307692308",45,58,6786,22,2860,8580,30000,3780,"5,0","653,3125",30000,"4,230769231",550,20082,,,,,,,,,,,,530,,,,,,,,,,,,,,,,,,,,,,,,,
,Пышково,Зубцовский,тонары,песок,24,,ТСК,141,,3,32,тн,"2,127659574",45,58,"7360,2",21,2961,8883,30000,3846,"4,8","675,1",30000,"4,255319149",600,"22790,4",,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,
,Вязьма,Зубцовский,тонары,песок,24,,ТСК,143,,3,32,тн,"2,097902098",45,58,"7464,6",21,3003,9009,30000,3858,"4,8","679,8",30000,"4,545454545",650,"27139,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Чаплыгино,Воловичи,одиночки,песок,07-20,,САДР,41,,3,20,м3,"7,317073171",55,58,"2615,8",30,1230,3690,30000,3246,"18,2","746,39",30000,"15,85365854",650,"24216,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
